Código Faculdade;Código Curso;Provas de ingresso;Nota candidatura;Pontos provas de ingresso;Média do secundário;Provas de ingresso
0503;9240;18 Português (30%) e Uma das seguintes provas: (20%) 04 Economia 06 Filosofia 09 Geografia 11 História 19 Matemática A;95 pontos;95 pontos;50%;50%
0504;9494;02 Biologia e Geologia 07 Física e Química;100 pontos;100 pontos;50%;50%
0504;9819;02 Biologia e Geologia 07 Física e Química;95 pontos;95 pontos;50%;50%
0504;9832;02 Biologia e Geologia 07 Física e Química;95 pontos;95 pontos;50%;50%
0505;8393;18 Português e Uma das seguintes provas: 05 Espanhol 06 Filosofia 08 Francês 11 História 13 Inglês 15 Literatura Portuguesa;95 pontos;95 pontos;50%;50%
0505;9006;Duas das seguintes provas: 06 Filosofia 09 Geografia 11 História 18 Português;95 pontos;95 pontos;50%;50%
0505;9132;18 Português e Uma das seguintes provas: 06 Filosofia 12 Hist. da Cultura e Artes 11 História 13 Inglês 16 Matemática;95 pontos;95 pontos;50%;50%
0505;9133;18 Português e Uma das seguintes provas: 06 Filosofia 12 Hist. da Cultura e Artes 11 História 14 Latim 15 Literatura Portuguesa 17 Mat. Apl. Ciências Soc.;95 pontos;95 pontos;50%;50%
0505;9135;Um dos seguintes conjuntos: 06 Filosofia 18 Português ou 09 Geografia 18 Português ou 11 História 18 Português ou 06 Filosofia 11 História;95 pontos;95 pontos;50%;50%
0505;9139;Um dos seguintes conjuntos: 06 Filosofia 18 Português ou 11 História 18 Português ou 17 Mat. Apl. Ciências Soc. 18 Português;95 pontos;95 pontos;50%;50%
0505;9143;Um dos seguintes conjuntos: 02 Biologia e Geologia 18 Português ou 09 Geografia 18 Português ou 04 Economia 09 Geografia ou 09 Geografia 11 História ou 09 Geografia 17 Mat. Apl. Ciências Soc.;95 pontos;95 pontos;50%;50%
0505;9181;Duas das seguintes provas: 06 Filosofia 11 História 18 Português;95 pontos;95 pontos;50%;50%
0505;9182;18 Português e Uma das seguintes provas: 06 Filosofia 09 Geografia 10 Geometria Descritiva 12 Hist. da Cultura e Artes 11 História 13 Inglês;95 pontos;95 pontos;50%;50%
0505;9694;Um dos seguintes conjuntos: 06 Filosofia 18 Português ou 11 História 18 Português ou 17 Mat. Apl. Ciências Soc. 18 Português;95 pontos;95 pontos;50%;50%
0505;9773;Um dos seguintes conjuntos: 06 Filosofia 18 Português ou 11 História 18 Português ou 17 Mat. Apl. Ciências Soc. 18 Português;95 pontos;95 pontos;50%;50%
0505;9773;Um dos seguintes conjuntos: 06 Filosofia 18 Português ou 11 História 18 Português ou 17 Mat. Apl. Ciências Soc. 18 Português;95 pontos;95 pontos;50%;50%
0505;9779;Um dos seguintes conjuntos: 01 Alemão 13 Inglês ou 05 Espanhol 13 Inglês ou 08 Francês 13 Inglês ou 13 Inglês 21 Italiano ou 08 Francês 18 Português ou 13 Inglês 18 Português;100 pontos;100 pontos;50%;50%
